Count,Filename_0,Filename_1,Time_0,Time_1,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai0_scaled,Dev1/ai1_scaled,Dev1/ai2_scaled,Dev1/ai3_scaled,Dev1/ai4_scaled,Dev1/ai5_scaled,Dev1/ai6_scaled,Dev1/ai7_scaled
0,D:/These Thien/20220111 test_compare_vba_python/70\Test-0000_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0000_1.tif,130.7061,130.7061,-0.0271,-0.0300,-0.0181,0.0393,-0.0123,0.0177,-0.0065,0.0138,-0.0271,-0.0300,-0.0181,0.0393,-0.0123,0.0177,-0.0065,0.0138
1,D:/These Thien/20220111 test_compare_vba_python/70\Test-0001_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0001_1.tif,130.7331,130.7330,0.1241,0.0860,0.0403,0.6503,0.4615,0.3745,0.2604,0.2117,0.1241,0.0860,0.0403,0.6503,0.4615,0.3745,0.2604,0.2117
2,D:/These Thien/20220111 test_compare_vba_python/70\Test-0002_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0002_1.tif,130.7601,130.7599,0.9017,0.7560,0.6623,1.7905,1.5930,1.4728,1.3087,1.1895,0.9017,0.7560,0.6623,1.7905,1.5930,1.4728,1.3087,1.1895
3,D:/These Thien/20220111 test_compare_vba_python/70\Test-0003_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0003_1.tif,130.7870,130.7868,2.0084,1.8153,1.7573,3.0045,2.8266,2.6829,2.5024,2.3642,2.0084,1.8153,1.7573,3.0045,2.8266,2.6829,2.5024,2.3642
4,D:/These Thien/20220111 test_compare_vba_python/70\Test-0004_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0004_1.tif,130.8138,130.8139,3.2997,3.0886,2.9649,4.2904,4.0789,3.9352,3.7544,3.6084,3.2997,3.0886,2.9649,4.2904,4.0789,3.9352,3.7544,3.6084
5,D:/These Thien/20220111 test_compare_vba_python/70\Test-0005_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0005_1.tif,130.8408,130.8407,4.5475,4.3416,4.2394,5.5730,5.3638,5.2224,5.0438,4.8953,4.5475,4.3416,4.2394,5.5730,5.3638,5.2224,5.0438,4.8953
6,D:/These Thien/20220111 test_compare_vba_python/70\Test-0006_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0006_1.tif,130.8677,130.8676,5.7963,5.5752,5.5137,6.7647,6.5856,6.4599,6.2942,6.1499,5.7963,5.5752,5.5137,6.7647,6.5856,6.4599,6.2942,6.1499
7,D:/These Thien/20220111 test_compare_vba_python/70\Test-0007_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0007_1.tif,130.8947,130.8945,6.8447,6.6948,6.5914,7.1260,7.0687,7.0600,7.0036,6.9562,6.8447,6.6948,6.5914,7.1260,7.0687,7.0600,7.0036,6.9562
8,D:/These Thien/20220111 test_compare_vba_python/70\Test-0008_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0008_1.tif,130.9217,130.9215,7.0606,7.0258,7.0061,7.0851,7.0554,7.0844,7.0716,7.0783,7.0606,7.0258,7.0061,7.0851,7.0554,7.0844,7.0716,7.0783
9,D:/These Thien/20220111 test_compare_vba_python/70\Test-0009_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0009_1.tif,130.9484,130.9485,6.9794,6.9726,6.9907,6.7925,6.8002,6.8679,6.8901,6.9323,6.9794,6.9726,6.9907,6.7925,6.8002,6.8679,6.8901,6.9323
